paperId,method,node,section,basis,evidence,sourceUrl
zheng2024takes-acmmm-2024,Xgait,Gait Modalities and Representations,IV-A,Survey discussion,"Parsing supplies denser body-region correspondence. ParsingGait and XGait exploit semantic regions and cross-granularity alignment, respectively, with related part representations and higher-order relations developed in subsequent work. SMPLGait introduces recovered body geometry, and occlusion-aware mesh learning extends this route. Such estimates regularize observations but can smooth individual detail or propagate fitting errors; unlike measured geometry, they depend on the image and body prior.",https://doi.org/10.1145/3664647.3680577
wang2023gaitparsing-tmm-2024,GaitParsing,Gait Modalities and Representations,IV-A,Survey discussion,"Parsing supplies denser body-region correspondence. ParsingGait and XGait exploit semantic regions and cross-granularity alignment, respectively, with related part representations and higher-order relations developed in subsequent work. SMPLGait introduces recovered body geometry, and occlusion-aware mesh learning extends this route. Such estimates regularize observations but can smooth individual detail or propagate fitting errors; unlike measured geometry, they depend on the image and body prior.",
zheng2026hypergait-cvpr-2026,HyperGait,Gait Modalities and Representations,IV-A,Survey discussion,"Parsing supplies denser body-region correspondence. ParsingGait and XGait exploit semantic regions and cross-granularity alignment, respectively, with related part representations and higher-order relations developed in subsequent work. SMPLGait introduces recovered body geometry, and occlusion-aware mesh learning extends this route. Such estimates regularize observations but can smooth individual detail or propagate fitting errors; unlike measured geometry, they depend on the image and body prior.",https://openaccess.thecvf.com/content/CVPR2026/html/Zheng_HyperGait_Unleashing_the_Power_of_Parsing_for_Gait_Recognition_in_CVPR_2026_paper.html
zheng2022gait-cvpr-2022,SMPLGait,Gait Modalities and Representations,IV-A,Survey discussion,"Parsing supplies denser body-region correspondence. ParsingGait and XGait exploit semantic regions and cross-granularity alignment, respectively, with related part representations and higher-order relations developed in subsequent work. SMPLGait introduces recovered body geometry, and occlusion-aware mesh learning extends this route. Such estimates regularize observations but can smooth individual detail or propagate fitting errors; unlike measured geometry, they depend on the image and body prior.",https://openaccess.thecvf.com/content/CVPR2022/html/Zheng_Gait_Recognition_in_the_Wild_With_Dense_3D_Representations_and_CVPR_2022_paper.html
xu2023occlusion-tifs-2023,Occlusion-Aware Mesh,Gait Modalities and Representations,IV-A,Survey discussion,"Parsing supplies denser body-region correspondence. ParsingGait and XGait exploit semantic regions and cross-granularity alignment, respectively, with related part representations and higher-order relations developed in subsequent work. SMPLGait introduces recovered body geometry, and occlusion-aware mesh learning extends this route. Such estimates regularize observations but can smooth individual detail or propagate fitting errors; unlike measured geometry, they depend on the image and body prior.",https://doi.org/10.1109/TIFS.2023.3236181
zhang2020learning-tpami-2022,GaitNet,Gait Modalities and Representations,IV-A,Survey discussion,"RGB retains evidence removed by explicit preprocessing. GaitNet learns disentangled representations; BigGait adapts pretrained visual features, and BiggerGait uses complementary layers. Gait-X instead applies frequency decomposition without a learned upstream estimator. Explicit transformations constrain the retained information before learning; RGB adaptation learns which details to use from richer observations and external priors. Cross-clothing and cross-domain tests assess which shape and appearance details remain useful across encounters.",
ye2024biggait-cvpr-2024,BigGait,Gait Modalities and Representations,IV-A,Survey discussion,"RGB retains evidence removed by explicit preprocessing. GaitNet learns disentangled representations; BigGait adapts pretrained visual features, and BiggerGait uses complementary layers. Gait-X instead applies frequency decomposition without a learned upstream estimator. Explicit transformations constrain the retained information before learning; RGB adaptation learns which details to use from richer observations and external priors. Cross-clothing and cross-domain tests assess which shape and appearance details remain useful across encounters.",https://openaccess.thecvf.com/content/CVPR2024/html/Ye_BigGait_Learning_Gait_Representation_You_Want_by_Large_Vision_Models_CVPR_2024_paper.html
ref-ye2025biggergait,BiggerGait,Gait Modalities and Representations,IV-A,Survey discussion,"RGB retains evidence removed by explicit preprocessing. GaitNet learns disentangled representations; BigGait adapts pretrained visual features, and BiggerGait uses complementary layers. Gait-X instead applies frequency decomposition without a learned upstream estimator. Explicit transformations constrain the retained information before learning; RGB adaptation learns which details to use from richer observations and external priors. Cross-clothing and cross-domain tests assess which shape and appearance details remain useful across encounters.",https://proceedings.neurips.cc/paper_files/paper/2025/file/6a5c23219f401f3efd322579002dbb80-Paper-Conference.pdf
wang2025gaitx-acmmm-2025,Gait-X,Gait Modalities and Representations,IV-A,Survey discussion,"RGB retains evidence removed by explicit preprocessing. GaitNet learns disentangled representations; BigGait adapts pretrained visual features, and BiggerGait uses complementary layers. Gait-X instead applies frequency decomposition without a learned upstream estimator. Explicit transformations constrain the retained information before learning; RGB adaptation learns which details to use from richer observations and external priors. Cross-clothing and cross-domain tests assess which shape and appearance details remain useful across encounters.",https://openaccess.thecvf.com/content/ICCV2025/html/Wang_Gait-X_Exploring_X_modality_for_Generalized_Gait_Recognition_ICCV_2025_paper.html
castro2024attengait-pr-2024,AttenGait,Gait Modalities and Representations,IV-A,Survey discussion,"Optical flow provides estimated motion, complementing contour in AttenGait and MultiGait. Its contribution depends on alignment, camera motion, and extraction cost, especially for low-quality video.",https://doi.org/10.1016/j.patcog.2023.110171
jin2025exploring-aaai-2025,MultiGait++,Gait Modalities and Representations,IV-A,Survey discussion,"Optical flow provides estimated motion, complementing contour in AttenGait and MultiGait. Its contribution depends on alignment, camera motion, and extraction cost, especially for low-quality video.",https://ojs.aaai.org/index.php/AAAI/article/view/32432
shen2023lidargait-cvpr-2023,LidarGait,Gait Modalities and Representations,IV-A,Survey discussion,"LiDAR measures geometry independently of visible-light texture. LidarGait established a projection baseline, and LidarGait++ develops size-aware local geometric features; point-based and multiscale temporal designs provide related alternatives. Geometry can remain informative at night, but garments, sparsity, and occlusion still affect the observed surface.",https://openaccess.thecvf.com/content/CVPR2023/html/Shen_LidarGait_Benchmarking_3D_Gait_Recognition_With_Point_Clouds_CVPR_2023_paper.html
shen2025lidargait-cvpr-2025,LidarGait++,Gait Modalities and Representations,IV-A,Survey discussion,"LiDAR measures geometry independently of visible-light texture. LidarGait established a projection baseline, and LidarGait++ develops size-aware local geometric features; point-based and multiscale temporal designs provide related alternatives. Geometry can remain informative at night, but garments, sparsity, and occlusion still affect the observed surface.",https://openaccess.thecvf.com/content/CVPR2025/html/Shen_LidarGait_Learning_Local_Features_and_Size_Awareness_from_LiDAR_Point_CVPR_2025_paper.html
wang2023pointgait-ijcb-2023,PointGait,Gait Modalities and Representations,IV-A,Survey discussion,"LiDAR measures geometry independently of visible-light texture. LidarGait established a projection baseline, and LidarGait++ develops size-aware local geometric features; point-based and multiscale temporal designs provide related alternatives. Geometry can remain informative at night, but garments, sparsity, and occlusion still affect the observed surface.",https://doi.org/10.1109/IJCB57857.2023.10448817
xu2026ms2gait-cvpr-2026,MS2Gait,Gait Modalities and Representations,IV-A,Survey discussion,"LiDAR measures geometry independently of visible-light texture. LidarGait established a projection baseline, and LidarGait++ develops size-aware local geometric features; point-based and multiscale temporal designs provide related alternatives. Geometry can remain informative at night, but garments, sparsity, and occlusion still affect the observed surface.",https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_MS2Gait_A_Multi-Scale_Spatio-Temporal_Fusion_Network_for_LiDAR-based_Gait_Recognition_CVPR_2026_paper.pdf
ref-wang2019ev,EV-gait: Event-based robust gait recognition using dynamic vision sensors,Gait Modalities and Representations,IV-A,Survey discussion,"Event cameras asynchronously record brightness changes. EventGait combines event-based dynamics and shape, extending earlier event representations. Physical and simulated event streams require separate interpretation because their acquisition and noise differ.",
xu2026eventgait-cvpr-2026,EventGait,Gait Modalities and Representations,IV-A,Survey discussion,"Event cameras asynchronously record brightness changes. EventGait combines event-based dynamics and shape, extending earlier event representations. Physical and simulated event streams require separate interpretation because their acquisition and noise differ.",https://openaccess.thecvf.com/content/CVPR2026/html/Xu_EventGait_Towards_Robust_Gait_Recognition_with_Event_Streams_CVPR_2026_paper.html
wang2021event-tpami-2022,EV-Gait,Gait Modalities and Representations,IV-A,Survey discussion,"Event cameras asynchronously record brightness changes. EventGait combines event-based dynamics and shape, extending earlier event representations. Physical and simulated event streams require separate interpretation because their acquisition and noise differ.",
chen2024egst-tifs-2024,EGST,Gait Modalities and Representations,IV-A,Survey discussion,"Event cameras asynchronously record brightness changes. EventGait combines event-based dynamics and shape, extending earlier event representations. Physical and simulated event streams require separate interpretation because their acquisition and noise differ.",https://doi.org/10.1109/TIFS.2024.3409167
cui2023multi-cvpr-2023,MMGaitFormer,Gait Modalities and Representations,IV-A,Survey discussion,"Additional modalities can be fused at inference, matched across heterogeneous probe and gallery observations, or used only to supervise training. MMGaitFormer and SkeletonGait++ combine complementary visual representations; MultiGait++ refines fusion across silhouette, parsing, and flow. Related multimodal learning explores temporal coordination. CL-Gait aligns camera and LiDAR embeddings through contrastive pretraining, while long-range and text-guided methods extend cross-modal learning. MMGait and OmniGait provide a common setting for heterogeneous modality configurations.",https://openaccess.thecvf.com/content/CVPR2023/html/Cui_Multi-Modal_Gait_Recognition_via_Effective_Spatial-Temporal_Feature_Fusion_CVPR_2023_paper.html
fan2024skegait-aaai-2024,SkeletonGait++,Gait Modalities and Representations,IV-A,Survey discussion,"Additional modalities can be fused at inference, matched across heterogeneous probe and gallery observations, or used only to supervise training. MMGaitFormer and SkeletonGait++ combine complementary visual representations; MultiGait++ refines fusion across silhouette, parsing, and flow. Related multimodal learning explores temporal coordination. CL-Gait aligns camera and LiDAR embeddings through contrastive pretraining, while long-range and text-guided methods extend cross-modal learning. MMGait and OmniGait provide a common setting for heterogeneous modality configurations.",
jin2025exploring-aaai-2025,MultiGait++,Gait Modalities and Representations,IV-A,Survey discussion,"Additional modalities can be fused at inference, matched across heterogeneous probe and gallery observations, or used only to supervise training. MMGaitFormer and SkeletonGait++ combine complementary visual representations; MultiGait++ refines fusion across silhouette, parsing, and flow. Related multimodal learning explores temporal coordination. CL-Gait aligns camera and LiDAR embeddings through contrastive pretraining, while long-range and text-guided methods extend cross-modal learning. MMGait and OmniGait provide a common setting for heterogeneous modality configurations.",https://ojs.aaai.org/index.php/AAAI/article/view/32432
sun2024trigait-tbiom-2025,TriGait,Gait Modalities and Representations,IV-A,Survey discussion,"Additional modalities can be fused at inference, matched across heterogeneous probe and gallery observations, or used only to supervise training. MMGaitFormer and SkeletonGait++ combine complementary visual representations; MultiGait++ refines fusion across silhouette, parsing, and flow. Related multimodal learning explores temporal coordination. CL-Gait aligns camera and LiDAR embeddings through contrastive pretraining, while long-range and text-guided methods extend cross-modal learning. MMGait and OmniGait provide a common setting for heterogeneous modality configurations.",
guo2024camera-eccv-2024,CL-Gait,Gait Modalities and Representations,IV-A,Survey discussion,"Additional modalities can be fused at inference, matched across heterogeneous probe and gallery observations, or used only to supervise training. MMGaitFormer and SkeletonGait++ combine complementary visual representations; MultiGait++ refines fusion across silhouette, parsing, and flow. Related multimodal learning explores temporal coordination. CL-Gait aligns camera and LiDAR embeddings through contrastive pretraining, while long-range and text-guided methods extend cross-modal learning. MMGait and OmniGait provide a common setting for heterogeneous modality configurations.",
lu2026walking-aaai-2026,EMGaitNet,Gait Modalities and Representations,IV-A,Survey discussion,"Additional modalities can be fused at inference, matched across heterogeneous probe and gallery observations, or used only to supervise training. MMGaitFormer and SkeletonGait++ combine complementary visual representations; MultiGait++ refines fusion across silhouette, parsing, and flow. Related multimodal learning explores temporal coordination. CL-Gait aligns camera and LiDAR embeddings through contrastive pretraining, while long-range and text-guided methods extend cross-modal learning. MMGait and OmniGait provide a common setting for heterogeneous modality configurations.",https://ojs.aaai.org/index.php/AAAI/article/view/37703
lu2026textguided-cvpr-2026,TCFDNet,Gait Modalities and Representations,IV-A,Survey discussion,"Additional modalities can be fused at inference, matched across heterogeneous probe and gallery observations, or used only to supervise training. MMGaitFormer and SkeletonGait++ combine complementary visual representations; MultiGait++ refines fusion across silhouette, parsing, and flow. Related multimodal learning explores temporal coordination. CL-Gait aligns camera and LiDAR embeddings through contrastive pretraining, while long-range and text-guided methods extend cross-modal learning. MMGait and OmniGait provide a common setting for heterogeneous modality configurations.",https://openaccess.thecvf.com/content/CVPR2026/html/Lu_Text-guided_Feature_Disentanglement_for_Cross-modal_Gait_Recognition_CVPR_2026_paper.html
wang2026mmgait-cvpr-2026,OmniGait,Gait Modalities and Representations,IV-A,Survey discussion,"Additional modalities can be fused at inference, matched across heterogeneous probe and gallery observations, or used only to supervise training. MMGaitFormer and SkeletonGait++ combine complementary visual representations; MultiGait++ refines fusion across silhouette, parsing, and flow. Related multimodal learning explores temporal coordination. CL-Gait aligns camera and LiDAR embeddings through contrastive pretraining, while long-range and text-guided methods extend cross-modal learning. MMGait and OmniGait provide a common setting for heterogeneous modality configurations.",https://arxiv.org/abs/2604.15979
ref-chao2019gaitset,Gaitset: Regarding gait as a set for cross-view gait recognition,Gait Backbone Architectures,IV-B,Survey discussion,"Set pooling offers variable-length aggregation without requiring temporal alignment. In an idealized frame-wise encoder followed by symmetric pooling, z=\!(Pool_t=1^T(x_t)), the representation is invariant to frame permutations. This simplifies aggregation when ordering or phase alignment is unreliable, while discarding the order of otherwise identical frames. Local temporal operations before pooling can retain ordering information within their receptive fields.",https://doi.org/10.1609/aaai.v33i01.33018126
fan2020gaitpart-cvpr-2020,GaitPart,Gait Backbone Architectures,IV-B,Survey discussion,"GaitPart captures local micro-motion, GaitGL integrates local and global features, and DyGait emphasizes dynamic regions; hierarchical and adaptive aggregation offer related designs. Fixed body partitions simplify correspondence under good alignment but become unreliable with leaning or partial visibility. MTSGait explores multi-hop temporal interaction, while dynamic aggregation and quality-aware weighting adapt which regions and frames contribute.",https://openaccess.thecvf.com/content_CVPR_2020/html/Fan_GaitPart_Temporal_Part-Based_Model_for_Gait_Recognition_CVPR_2020_paper.html
lin2021gait-iccv-2021,GaitGL,Gait Backbone Architectures,IV-B,Survey discussion,"GaitPart captures local micro-motion, GaitGL integrates local and global features, and DyGait emphasizes dynamic regions; hierarchical and adaptive aggregation offer related designs. Fixed body partitions simplify correspondence under good alignment but become unreliable with leaning or partial visibility. MTSGait explores multi-hop temporal interaction, while dynamic aggregation and quality-aware weighting adapt which regions and frames contribute.",https://openaccess.thecvf.com/content/ICCV2021/html/Lin_Gait_Recognition_via_Effective_Global-Local_Feature_Representation_and_Local_Temporal_ICCV_2021_paper.html
wang2023dygait-iccv-2023,DyGait,Gait Backbone Architectures,IV-B,Survey discussion,"GaitPart captures local micro-motion, GaitGL integrates local and global features, and DyGait emphasizes dynamic regions; hierarchical and adaptive aggregation offer related designs. Fixed body partitions simplify correspondence under good alignment but become unreliable with leaning or partial visibility. MTSGait explores multi-hop temporal interaction, while dynamic aggregation and quality-aware weighting adapt which regions and frames contribute.",https://arxiv.org/abs/2303.14953
wang2023hierarchical-iccv-2023,HSTL,Gait Backbone Architectures,IV-B,Survey discussion,"GaitPart captures local micro-motion, GaitGL integrates local and global features, and DyGait emphasizes dynamic regions; hierarchical and adaptive aggregation offer related designs. Fixed body partitions simplify correspondence under good alignment but become unreliable with leaning or partial visibility. MTSGait explores multi-hop temporal interaction, while dynamic aggregation and quality-aware weighting adapt which regions and frames contribute.",https://openaccess.thecvf.com/content/ICCV2023/html/Wang_Hierarchical_Spatio-Temporal_Representation_Learning_for_Gait_Recognition_ICCV_2023_paper.html
ma2023dynamic-cvpr-2023,DANet,Gait Backbone Architectures,IV-B,Survey discussion,"GaitPart captures local micro-motion, GaitGL integrates local and global features, and DyGait emphasizes dynamic regions; hierarchical and adaptive aggregation offer related designs. Fixed body partitions simplify correspondence under good alignment but become unreliable with leaning or partial visibility. MTSGait explores multi-hop temporal interaction, while dynamic aggregation and quality-aware weighting adapt which regions and frames contribute.",https://openaccess.thecvf.com/content/CVPR2023/html/Ma_Dynamic_Aggregated_Network_for_Gait_Recognition_CVPR_2023_paper.html
zheng2022mtsgait-acmmm-2022,MTSGait,Gait Backbone Architectures,IV-B,Survey discussion,"GaitPart captures local micro-motion, GaitGL integrates local and global features, and DyGait emphasizes dynamic regions; hierarchical and adaptive aggregation offer related designs. Fixed body partitions simplify correspondence under good alignment but become unreliable with leaning or partial visibility. MTSGait explores multi-hop temporal interaction, while dynamic aggregation and quality-aware weighting adapt which regions and frames contribute.",https://doi.org/10.1145/3503161.3547897
wang2024qagait-aaai-2024,QAGait,Gait Backbone Architectures,IV-B,Survey discussion,"GaitPart captures local micro-motion, GaitGL integrates local and global features, and DyGait emphasizes dynamic regions; hierarchical and adaptive aggregation offer related designs. Fixed body partitions simplify correspondence under good alignment but become unreliable with leaning or partial visibility. MTSGait explores multi-hop temporal interaction, while dynamic aggregation and quality-aware weighting adapt which regions and frames contribute.",
fan2023opengait-cvpr-2023,GaitBase,Gait Backbone Architectures,IV-B,Survey discussion,"Convolutional encoders exploit spatial locality; 3D or factorized operations additionally model temporal neighborhoods. OpenGait's re-analysis of GaitSet finds that removing selected architectural branches can preserve or improve recognition while reducing parameters. This finding highlights the value of simple, well-trained reference models. SPOSGait extends architecture selection to large-scale data; training scale and search cost remain part of that comparison.",https://doi.org/10.1109/cvpr52729.2023.00936
fan2025opengait-tpami-2025,OpenGait,Gait Backbone Architectures,IV-B,Survey discussion,"Convolutional encoders exploit spatial locality; 3D or factorized operations additionally model temporal neighborhoods. OpenGait's re-analysis of GaitSet finds that removing selected architectural branches can preserve or improve recognition while reducing parameters. This finding highlights the value of simple, well-trained reference models. SPOSGait extends architecture selection to large-scale data; training scale and search cost remain part of that comparison.",https://doi.org/10.1109/TPAMI.2025.3576283
guo2025gait-tpami-2025,SPOSGait,Gait Backbone Architectures,IV-B,Survey discussion,"Convolutional encoders exploit spatial locality; 3D or factorized operations additionally model temporal neighborhoods. OpenGait's re-analysis of GaitSet finds that removing selected architectural branches can preserve or improve recognition while reducing parameters. This finding highlights the value of simple, well-trained reference models. SPOSGait extends architecture selection to large-scale data; training scale and search cost remain part of that comparison.",
fu2023gpgait-iccv-2023,GPGait,Gait Backbone Architectures,IV-B,Survey discussion,"GPGait emphasizes generalizable body coordinates and graph learning; symmetry- and condition-aware graph designs explore complementary joint relations. This provides a compact articulation prior, but transfers uncertainty from the pose source into the learned dependencies. Flexible adjacency helps only if those dependencies remain informative across conditions.",https://openaccess.thecvf.com/content/ICCV2023/html/Fu_GPGait_Generalized_Pose-based_Gait_Recognition_ICCV_2023_paper.html
liu2022symmetry-pr-2022,SDHF-GCN,Gait Backbone Architectures,IV-B,Survey discussion,"GPGait emphasizes generalizable body coordinates and graph learning; symmetry- and condition-aware graph designs explore complementary joint relations. This provides a compact articulation prior, but transfers uncertainty from the pose source into the learned dependencies. Flexible adjacency helps only if those dependencies remain informative across conditions.",https://doi.org/10.1016/j.patcog.2022.108520
huang2023condition-tip-2023,CAG,Gait Backbone Architectures,IV-B,Survey discussion,"GPGait emphasizes generalizable body coordinates and graph learning; symmetry- and condition-aware graph designs explore complementary joint relations. This provides a compact articulation prior, but transfers uncertainty from the pose source into the learned dependencies. Flexible adjacency helps only if those dependencies remain informative across conditions.",https://doi.org/10.1109/TIP.2023.3305822
zhang2020learning-tpami-2022,GaitNet,Gait Backbone Architectures,IV-B,Survey discussion,"Recurrent encoders maintain an ordered state, as in disentangled gait sequence modeling; attention connects selected spatial and temporal tokens. SwinGait uses hierarchical 3D window attention, DeepGaitV2 develops convolutional baselines, and GaT studies a gait-specific Transformer. These mechanisms provide different temporal access, motivating analysis of the identity cues retained by each design.",
ref-fan2023exploring,DeepGaitV2 / SwinGait,Gait Backbone Architectures,IV-B,Survey discussion,"Recurrent encoders maintain an ordered state, as in disentangled gait sequence modeling; attention connects selected spatial and temporal tokens. SwinGait uses hierarchical 3D window attention, DeepGaitV2 develops convolutional baselines, and GaT studies a gait-specific Transformer. These mechanisms provide different temporal access, motivating analysis of the identity cues retained by each design.",https://arxiv.org/abs/2303.03301
hou2026gat-aaai-2026,GaT,Gait Backbone Architectures,IV-B,Survey discussion,"Recurrent encoders maintain an ordered state, as in disentangled gait sequence modeling; attention connects selected spatial and temporal tokens. SwinGait uses hierarchical 3D window attention, DeepGaitV2 develops convolutional baselines, and GaT studies a gait-specific Transformer. These mechanisms provide different temporal access, motivating analysis of the identity cues retained by each design.",https://ojs.aaai.org/index.php/AAAI/article/view/42479
huang2026gaitmax-cvpr-2026,GaitMax,Gait Backbone Architectures,IV-B,Survey discussion,"A published GaitMax ablation illustrates why the temporal question benefits from condition-specific analysis. Its kinematic branch exceeds the order-invariant semantic branch by 6.7 points on CCPG clothing change, while the semantic branch leads by 2.7 points on bag carrying. Fusion improves mean rank-1 to 89.8%, but its clothing score of 85.4% remains below the kinematic branch's 87.6%. These ablation settings differ from the final comparison in Table III. The ablation reveals condition-dependent complementarity between semantic and kinematic cues. Fusion should therefore be assessed against the strongest individual branch for each condition as well as by its aggregate score. A repeated-frame control would test whether a single frame supports the gain; frame shuffling would probe order dependence, and matched-duration sampling would probe temporal coverage. Applying these controls within each covariate condition would help distinguish useful temporal evidence from architectural sensitivity to sequence order.",https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_Unlocking_Motion_from_Large_Vision_Models_with_a_Semantic_and_CVPR_2026_paper.pdf
fan2023opengait-cvpr-2023,GaitBase,Gait Learning Frameworks,IV-C,Survey discussion,"A common recipe combines identity classification with metric learning. For an anchor z_a, positive z_p, and negative z_n, a representative triplet objective is L_ tri=[d(z_a,z_p)-d(z_a,z_n)+m]_+, where m is a margin. Classification separates training identities; metric learning shapes relations used to match unseen people. Part-wise heads, normalization, and batch construction determine how these objectives act on gait sequences.",https://doi.org/10.1109/cvpr52729.2023.00936
han2022unified-pr-2022,A-Softmax + Triplet,Gait Learning Frameworks,IV-C,Survey discussion,"A common recipe combines identity classification with metric learning. For an anchor z_a, positive z_p, and negative z_n, a representative triplet objective is L_ tri=[d(z_a,z_p)-d(z_a,z_n)+m]_+, where m is a margin. Classification separates training identities; metric learning shapes relations used to match unseen people. Part-wise heads, normalization, and batch construction determine how these objectives act on gait sequences.",https://doi.org/10.1016/j.patcog.2021.108519
zhang2020learning-tpami-2022,GaitNet,Gait Learning Frameworks,IV-C,Survey discussion,"GaitNet separates identity-related factors from appearance through reconstruction and latent exchange; group supervision supplies further constraints. GaitGCI and GaitC3I model covariate effects using causality-inspired formulations, alongside interventions across several feature domains. These approaches pursue identity relations that persist under changes to nuisance factors.",
yao2022improving-tcsvt-2023,Group-Supervised Disentangled Representation Learning (GSDRL),Gait Learning Frameworks,IV-C,Survey discussion,"GaitNet separates identity-related factors from appearance through reconstruction and latent exchange; group supervision supplies further constraints. GaitGCI and GaitC3I model covariate effects using causality-inspired formulations, alongside interventions across several feature domains. These approaches pursue identity relations that persist under changes to nuisance factors.",https://doi.org/10.1109/tmm.2022.3171961
dou2023gaitgci-cvpr-2023,GaitGCI,Gait Learning Frameworks,IV-C,Survey discussion,"GaitNet separates identity-related factors from appearance through reconstruction and latent exchange; group supervision supplies further constraints. GaitGCI and GaitC3I model covariate effects using causality-inspired formulations, alongside interventions across several feature domains. These approaches pursue identity relations that persist under changes to nuisance factors.",https://openaccess.thecvf.com/content/CVPR2023/html/Dou_GaitGCI_Generative_Counterfactual_Intervention_for_Gait_Recognition_CVPR_2023_paper.html
